depth,pres,temp
0,200,80
334.4827586207,266.7228278316,83.4482758621
668.9655172414,338.0006801757,86.8965517241
1003.4482758621,414.5592073834,90.3448275862
1337.9310344828,495.1600989788,93.7931034483
1672.4137931035,579.3454571362,97.2413793103
2006.8965517241,666.720037173,100.6896551724
2341.3793103448,756.9828474256,104.1379310345
2675.8620689655,849.7261870477,107.5862068966
3010.3448275862,944.9032713981,111.0344827586
3344.8275862069,1042.2418550033,114.4827586207
3679.3103448276,1141.5520733855,117.9310344828
4013.7931034483,1242.6631134743,121.3793103448
4348.275862069,1345.4223932291,124.8275862069
4682.7586206897,1449.6817277354,128.275862069
5017.2413793104,1555.3166606416,131.724137931
5351.724137931,1662.2079099984,135.1724137931
5686.2068965517,1770.2459593789,138.6206896552
6020.6896551724,1879.330323373,142.0689655172
6355.1724137931,1989.3689593468,145.5172413793
6689.6551724138,2100.1538958826,148.9655172414
7024.1379310345,2211.8390471403,152.4137931034
7358.6206896552,2324.2809883228,155.8620689655
7693.1034482759,2437.3876127486,159.3103448276
8027.5862068966,2551.1014420725,162.7586206897
8362.0689655172,2665.3706022013,166.2068965517
8696.5517241379,2780.1483723897,169.6551724138
9031.0344827586,2895.3927324147,173.1034482759
9365.5172413793,3011.0659242443,176.5517241379
9700,3127.134031942,180
